,start_district,finish_district,count,total_distance,total_duration,day,time
368,000,305,4.0,37083.0,10140.0,3.0,morning
369,000,305,9.0,83904.0,23252.0,4.0,day
370,000,305,5.0,51321.0,14048.0,4.0,evening
371,000,305,7.0,70984.0,19539.0,4.0,morning
372,000,305,5.0,42183.0,11854.0,5.0,day
373,000,305,2.0,19809.0,5420.0,5.0,evening
374,000,305,4.0,45421.0,12530.0,5.0,morning
375,000,305,1.0,11145.0,2998.0,6.0,day
376,000,305,2.0,24312.0,6634.0,6.0,evening
377,000,305,3.0,32022.0,8594.0,6.0,night
378,000,401,1.0,8233.0,2159.0,0.0,day
379,000,401,1.0,7167.0,1874.0,0.0,morning
380,000,401,3.0,25301.0,6615.0,1.0,day
381,000,401,1.0,9645.0,2555.0,2.0,day
382,000,401,2.0,17446.0,4643.0,2.0,evening
383,000,401,7.0,58477.0,15427.0,3.0,day
384,000,401,3.0,23750.0,6232.0,4.0,day
385,000,401,1.0,7849.0,2055.0,5.0,day
386,000,401,1.0,10067.0,2666.0,5.0,evening
387,000,402,1.0,6751.0,1729.0,0.0,morning
388,000,402,2.0,14925.0,3953.0,1.0,day
389,000,402,1.0,10932.0,2827.0,1.0,evening
390,000,402,1.0,7106.0,1889.0,2.0,day
391,000,402,2.0,22273.0,5760.0,2.0,evening
392,000,402,2.0,13278.0,3594.0,2.0,morning
393,000,402,1.0,8043.0,2054.0,3.0,day
394,000,402,1.0,6793.0,1835.0,4.0,day
395,000,402,1.0,10365.0,2676.0,5.0,day
396,000,404,3.0,29790.0,8394.0,0.0,day
397,000,404,3.0,29468.0,8094.0,0.0,evening
398,000,404,1.0,7994.0,2182.0,0.0,night
399,000,404,2.0,18912.0,5126.0,1.0,day
400,000,404,1.0,8837.0,2479.0,3.0,day
401,000,404,1.0,10578.0,2982.0,3.0,evening
402,000,404,2.0,21050.0,5956.0,4.0,day
403,000,404,1.0,9915.0,2711.0,4.0,morning
404,000,404,1.0,9039.0,2546.0,5.0,day
405,000,404,3.0,26844.0,7371.0,6.0,day
406,000,501,1.0,14000.0,3563.0,0.0,day
407,000,501,1.0,14849.0,3977.0,1.0,day
408,000,501,3.0,37546.0,10292.0,2.0,day
409,000,501,1.0,11812.0,3195.0,2.0,evening
410,000,501,2.0,26488.0,6969.0,4.0,day
411,000,501,1.0,13845.0,3752.0,4.0,evening
412,000,501,1.0,14009.0,3759.0,5.0,day
413,000,501,1.0,19150.0,5114.0,6.0,day
414,000,501,1.0,11940.0,3285.0,6.0,night
415,000,601,1.0,12685.0,3363.0,3.0,day
416,000,602,1.0,17640.0,4822.0,0.0,evening
417,000,602,1.0,16197.0,4333.0,1.0,day
418,000,602,2.0,35512.0,9507.0,1.0,morning
