,start_district,finish_district,count,total_distance,total_duration
513,701,201,4.0,49207.0,13145.0
514,701,202,4.0,57722.0,15068.0
515,701,203,3.0,38679.0,10985.0
516,701,204,8.0,120891.0,33615.0
517,701,301,275.0,2093024.0,529779.0
518,701,302,47.0,396424.0,106080.0
519,701,303,74.0,639364.0,169597.0
520,701,304,10.0,108885.0,29839.0
521,701,305,127.0,1028328.0,274168.0
522,701,401,4.0,45644.0,13066.0
523,701,402,9.0,108541.0,29987.0
524,701,404,93.0,682806.0,194392.0
525,701,501,965.0,4617495.0,1237914.0
526,701,601,441.0,2504856.0,660500.0
527,701,602,8399.0,19918871.0,5448551.0
528,701,603,338.0,1716222.0,468246.0
529,701,701,27706.0,27492701.0,7631103.0
530,701,702,2442.0,4481109.0,1499876.0
531,702,000,1.0,15649.0,4384.0
532,702,101,6.0,67361.0,16690.0
533,702,102,3.0,37685.0,9493.0
534,702,103,2.0,24078.0,6142.0
535,702,104,3.0,35082.0,9107.0
536,702,202,1.0,13595.0,3756.0
537,702,203,3.0,39144.0,10967.0
538,702,204,1.0,14131.0,3858.0
539,702,301,52.0,427362.0,104933.0
540,702,302,5.0,47621.0,12360.0
541,702,303,8.0,70682.0,18265.0
542,702,304,3.0,28882.0,7835.0
543,702,305,100.0,722785.0,185307.0
544,702,401,1.0,9593.0,2636.0
545,702,402,2.0,20438.0,5523.0
546,702,404,20.0,139381.0,38969.0
547,702,501,1160.0,3448650.0,896717.0
548,702,601,122.0,771628.0,196046.0
549,702,602,1039.0,3545073.0,895377.0
550,702,603,15.0,107297.0,27821.0
551,702,701,2957.0,5331717.0,1336593.0
552,702,702,5436.0,3482910.0,952237.0
